,,,,,,,"  46,901 ",  659.20 ,,,"  688,810 ","  138,240 ","  72,476 ","  17,000 ",,"  916,526 ",,,,,
Bill Date,Dispatch Date,Delay,INVOICE NO,E-Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,,,
13/Apr/26,14/Apr/26,1,TX271030000062,362229674760,MONGA TRADING CO.,FEROZPUR,185,  2.70 ,PB05AS3153,3,"  3,700 ",  -   ,  -   ,,17433,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000063,332229674141,MONGA TRADING CO.,FEROZPUR,10,  0.15 ,PB05AS3153,,,,,,,NEW SODHI,,,,,
13/Apr/26,14/Apr/26,1,TX271030000064,352230105272,RELIANCE RETAIL LIMITED,SHAMBHU,12,  0.20 ,PB10GY7337,1,"  2,400 ",  -   ,  460 ,,23616,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000065,312230105072,RELIANCE RETAIL LIMITED,SHAMBHU,80,  1.29 ,PB10GY7337,,,,,,,NEW SODHI,,,,,
13/Apr/26,13/Apr/26,0,TX271030000066,362229256836,AVENUE SUPERMARTS LIMITED,MOHALI,148,  1.89 ,PB13BJ8772,3,"  2,900 ",  700 ,"  1,025 ",,23612,NEW SODHI,Club With LR 23611,RECD,,,
13/Apr/26,13/Apr/26,0,TX271030000067,322229261429,AVENUE SUPERMARTS LIMITED,MOHALI,37,  0.53 ,PB13BJ8772,,,,,,23611,NEW SODHI,Club With LR 23612,RECD,,,
13/Apr/26,15/Apr/26,2,TX271030000068,342230629386,AVENUE SUPERMARTS LIMITED,PEER MUCHALLA,265,  3.01 ,PB10JP8564,3,"  3,600 ",  -   ,"  1,375 ",,23619,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000069,392230104002,SCOOTSY LOGISTICS PRIVATE LIMITED,BANUR,106,  2.71 ,PB10JP8564,3,"  3,300 ",  300 ,"  1,253 ",,23615,NEW SODHI,,RECD,,,
13/Apr/26,13/Apr/26,0,TX271030000070,302229463694,SACHDEVA TRADING COMPANY,GURU HAR SAHAI,266,  3.19 ,PB05AR3071,3,"  4,400 ",  600 ,  -   ,,17432,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000073,392230002793,SAI ENTERPRISES,RAMPURA,192,  2.60 ,PB10DZ1128,3,"  3,300 ",  -   ,  -   ,,17435,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000074,342230003478,SAI ENTERPRISES,RAMPURA,8,  0.24 ,PB10DZ1128,,,,,,,NEW SODHI,,,,,
13/Apr/26,14/Apr/26,1,TX271030000075,392230044133,BHARAT BHUSHAN & SONS,MOGA,150,  1.95 ,PB10FV3689,9,"  4,300 ",  700 ,  -   ,,17436,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000077,392230043367,BHARAT BHUSHAN & SONS,MOGA,10,  0.30 ,PB10FV3689,,,,,,,NEW SODHI,,,,,
13/Apr/26,14/Apr/26,1,TX271030000079,332230042704,BHARAT BHUSHAN & SONS,MOGA,60,  1.01 ,PB10FV3689,,,,,,,NEW SODHI,,,,,
14/Apr/26,14/Apr/26,0,TX271030000084,362230044655,BHARAT BHUSHAN & SONS,MOGA,380,  5.96 ,PB10FV3689,,,,,,,NEW SODHI,,,,,
13/Apr/26,14/Apr/26,1,TX271030000076,382230041371,OM PRAKASH DEV RAJ,JALANDHAR,10,  0.30 ,PB02BV9960,3,"  2,500 ",  -   ,  -   ,,17437,NEW SODHI,,RECD,,,
13/Apr/26,14/Apr/26,1,TX271030000082,332230041941,OM PRAKASH DEV RAJ,JALANDHAR,178,  2.99 ,PB02BV9960,,,,,,,NEW SODHI,,,,,
13/Apr/26,14/Apr/26,1,TX271030000078,352229908103,SAI ENTERPRISES,RAMPURA,180,  3.02 ,PB19H9095,3,"  3,300 ",  -   ,  -   ,,17434,NEW SODHI,,RECD,,,
13/Apr/26,15/Apr/26,2,TX271030000080,332230427141,BRIJ LAL SOHAN LAL,BARNALA,86,  1.29 ,PB0TM8558,1,"  1,900 ",  -   ,  -   ,,17439,NEW SODHI,,RECD,,,
13/Apr/26,13/Apr/26,0,TX271030000081,342229386926,M.S AGRO FOODS,AMRITSAR,150,  1.35 ,PB10JP8564,1,  -   ,  -   ,  -   ,,17430,NEW SODHI,Invoice Cancel,,,,
13/Apr/26,15/Apr/26,2,TX271030000083,352230654125,BHARAT BHUSHAN & SONS,MOGA,600,  9.00 ,PB10HC3852,9,"  4,300 ",  700 ,  -   ,,17440,NEW SODHI,,RECD,,,
14/Apr/26,15/Apr/26,1,TX271030000085,322230643421,AVENUE SUPERMARTS LTD,JALANDHAR,124,  2.44 ,PB02BV9960,3,"  2,500 ",  -   ,  840 ,,23620,NEW SODHI,,RECD,,,
14/Apr/26,16/Apr/26,2,TX271030000086,372229676459,AVENUE SUPERMARTS LIMITED,LUDHIANA,78,  0.89 ,PB10CZ1968,1,"  1,000 ",  -   ,  390 ,,23621,NEW SODHI,,RECD,,,
14/Apr/26,15/Apr/26,1,TX271030000087,302230484246,BLINK COMMERCE PRIVATE LIMITED,LUDHIANA,32,  0.95 ,PB02BV9960,1,"  1,000 ",  -   ,  315 ,,23618,NEW SODHI,,RECD,,,
14/Apr/26,14/Apr/26,0,TX271030000088,322230105989,BLINK COMMERCE PRIVATE LIMITED,SHAMBHU,68,  0.99 ,PB10CZ1968,1,"  2,400 ",  -   ,  340 ,,23617,NEW SODHI,,RECD,,,
15/Apr/26,17/Apr/26,2,TX271030000089,382232143464,AVENUE SUPERMARTS LTD,JALANDHAR,10,  0.30 ,PB10CZ1968,1,"  1,800 ",  400 ,  600 ,,23627,NEW SODHI,,RECD,,,
15/Apr/26,17/Apr/26,2,TX271030000097,382232144722,AVENUE SUPERMARTS LTD,JALANDHAR,100,  1.31 ,,,,,,,,NEW SODHI,,,,,
15/Apr/26,15/Apr/26,0,TX271030000090,312230802652,RELIANCE RETAIL LIMITED,BASSI PATHANA,37,  0.50 ,PB11CN8710,9,"  4,300 ","  3,700 ","  4,070 ",,23623,NEW SODHI,All Stock KGMO,RECD,,,
15/Apr/26,15/Apr/26,0,TX271030000091,302230803144,RELIANCE RETAIL LIMITED,BASSI PATHANA,77,  1.29 ,PB11CN8710,,,,,,,NEW SODHI,,,,,
15/Apr/26,15/Apr/26,0,TX271030000096,372230803752,RELIANCE RETAIL LIMITED,BASSI PATHANA,700,  7.06 ,PB11CN8710,,,,,,,NEW SODHI,,,,,
15/Apr/26,17/Apr/26,2,TX271030000092,372232125513,MORE RETAILPRIVETED LTD,BASSI PATHANA,8,  0.10 ,PB10DZ6724,1,"  2,100 ",  300 ,  230 ,,23624,NEW SODHI,,RECD,,,
15/Apr/26,17/Apr/26,2,TX271030000093,352232126565,MORE RETAILPRIVETED LTD,BASSI PATHANA,18,  0.24 ,,,,,,,,NEW SODHI,,,,,
15/Apr/26,17/Apr/26,2,TX271030000095,372232128020,MORE RETAILPRIVETED LTD,BASSI PATHANA,20,  0.27 ,,,,,,,,NEW SODHI,,,,,
15/Apr/26,16/Apr/26,1,TX271030000094,362231409923,S S CORPORATION,LUDHIANA,54,  0.68 ,PB10HL0339,1,"  1,000 ",  -   ,  -   ,,17446,NEW SODHI,,RECD,,,
16/Apr/26,16/Apr/26,0,TX271030000105,382231408690,S S CORPORATION,LUDHIANA,26,  0.40 ,PB10HL0339,,,,,,,NEW SODHI,,,,,
