,,,,,,,"  86,205 ","  1,200.77 ",,,"  822,384 ","  199,061 ","  105,871 ","  7,000 ",,"  1,134,315 ",,,
Bill Date,Dispatch Date,Delay,Invoice Number,E Waybill Number,Party Name,Town,Case, Net Weight in MT,Vehicle Number,Vehicle Type, Freight, Extra Freight, Labour, Detention,LR no.,Transport Name,Remarks,Acknwoledgement Status,
7/Apr/26,7/Apr/26,0,8631930387-88,372225235407-372225236611,SHIV SHAKTI TRADERS,RAJPURA,400,  4.37 ,PB10DG9967,15,"  3,740 ",  760 ,  -   ,,19342,Nice Transport,,RECD,
7/Apr/26,7/Apr/26,0,8631930401,352225317387,OM PARKASH MEHTA AND BROTHERS,ANANDPUR,286,  2.83 ,PB10JR5386,3,"  2,900 ","  1,600 ",  -   ,,19343,Aman Road,,RECD,
7/Apr/26,7/Apr/26,0,8631930360,352225022692,MITTAL SALES CROP,JALLANDHAR,280,  3.07 ,PB08DS6626,3,"  2,175 ",  625 ,  -   ,,19344,Aman Road,,RECD,
8/Apr/26,8/Apr/26,0,8631930426-27,312225702705-312225704727,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,930,  13.66 ,PB07AL1537,15,"  4,840 ","  2,660 ",  -   ,,19345,Aman Road,,RECD,
8/Apr/26,8/Apr/26,0,8631930428-29,312225710849-322225711829,LOVELY SWEETS,JALLANDHAR,296,  4.18 ,PB10CC6921,5,"  2,960 ","  1,540 ",  -   ,,19346,Aman Road,,RECD,
8/Apr/26,9/Apr/26,1,8631930433-34-35,392225842500-352225843176-372225844047,AVENUE SUPERMARTS LTD.,PATHANKOT,273,  3.52 ,PB10JP8564,3,"  8,200 ",,"  1,365 ",,19347,New Sodhi,,RECD,
8/Apr/26,10/Apr/26,2,8631930436-37-38-39-41,372225850057-352225850907-302225852010-302225854610-362225860561,AADHAAR RETAILING LTD,LUDHIANA,199,  2.50 ,PB10JP8564,3,"  1,200 ",  300 ,  398 ,,19348,New Sodhi,,RECD,
8/Apr/26,8/Apr/26,0,8631930449,362225912073,VIJAY AGENCIES,NAKODAR,180,  1.90 ,PB08BZ9791,3,"  1,230 ",,  -   ,,19349,Self,,RECD,
9/Apr/26,9/Apr/26,0,8631930479,352226516082,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,381,  6.00 ,PB10HS8312,3,"  2,371 ",,  -   ,,19350,Self,,RECD,
9/Apr/26,9/Apr/26,0,8631930480,392226526025,KHUSHI RAM RAJ PAL JAIN,HOSHIARPUR,380,  6.01 ,PB07AS6258,6,"  3,830 ",,  -   ,,23001,Self,,RECD,
9/Apr/26,10/Apr/26,1,8631930481,322226540701,KARAM CHAND & SONS,MOGA,190,  3.19 ,PB10Y9429,3,"  2,180 ",  220 ,  -   ,,23002,New Sodhi,,RECD,
9/Apr/26,9/Apr/26,0,8631930482,392226554282,GAURAV TRADING CO,SAROYA,210,  3.19 ,PB10JR5386,3,"  2,340 ",  850 ,  -   ,,23003,Aman Road,,RECD,
9/Apr/26,9/Apr/26,0,8631930487-89-90-91-95,392226595249-332226596202-392226597344-312226598596-392226611529,RELIANCE RETAIL LTD,SAMBHU,431,  4.72 ,PB10CC6921,5,"  4,730 ","  1,270 ",  862 ,,23004,Aman Road,,RECD,Extra Labour 500 Rs
9/Apr/26,9/Apr/26,0,8631930496-97,312226618258-302226618903,AVENUE SUPERMARTS LTD.,JALLANDHAR,225,  2.94 ,PB08DS6626,3,"  2,125 ",  675 ,"  1,125 ",,23005,Aman Road,,RECD,
9/Apr/26,9/Apr/26,0,8631930515-16-17,342226712504-362226714142-362226716416,AVENUE SUPERMARTS LTD.,PHAGWARA,281,  3.88 ,PB08BB9296,10,"  4,555 ",  745 ,"  1,405 ",,23006,New Sodhi,Club With 23008,RECD,
9/Apr/26,9/Apr/26,0,8631930508-09-10-11-13,382226687556-332226688301-322226692820-312226698180-372226701329,WAL-MART INDIA PVT LTD,JALLANDHAR,310,  4.80 ,PB08BB9296,,,,,,23008,New Sodhi,Club With 23006,RECD,
9/Apr/26,10/Apr/26,1,8631930502-03,372226642312-302226644867,AVENUE SUPERMARTS LTD.,JANDIYALA,217,  2.80 ,PB08BB9296,10,"  10,000 ","  2,965 ","  2,965 ",,23007,New Sodhi,Club With 23027,RECD,
10/Apr/26,10/Apr/26,,8631930571-72-73,332227478321-312227479302-312227480953,AVENUE SUPERMARTS LTD.,AMRITSAR,376,  5.29 ,PB08BB9296,,,,,,23027,New Sodhi,Club With 23007,RECD,
9/Apr/26,9/Apr/26,,8631930498-99-500,352226630618-382226631467-342226632525,AVENUE SUPERMARTS LTD.,NAWASAHAR,150,  2.05 ,PB06G2315,6,"  3,015 ","  1,485 ",  750 ,,23009,New Sodhi,Club With 23011,RECD,
9/Apr/26,9/Apr/26,,8631930493,332226600110,LEKH RAJ & BROTHERS,NAWASAHAR,300,  3.48 ,PB06G2315,,,,,,23011,New Sodhi,Club With 23009,RECD,
9/Apr/26,9/Apr/26,,8631930504-05-06-07,362226651092-312226652157-352226656304-332226658599,WAL-MART INDIA PVT LTD,LUDHIANA,235,  3.25 ,HP836748,7,"  1,300 ","  1,200 ",  470 ,,23010,Aman Road,,RECD,
9/Apr/26,10/Apr/26,,8631930501,332226634953,HARBANS LAL & SONS,MAKHU,199,  3.20 ,PB05AS3153,3,"  3,075 ",  425 ,  -   ,,23012,New Sodhi,,RECD,
9/Apr/26,10/Apr/26,,8631930512,362226699328,ANAND PARKASH ENTERPRISES,GURDASPUR,620,  9.15 ,PB10HC3852,10,"  10,000 ",,  -   ,,23013,New Sodhi,,RECD,
9/Apr/26,10/Apr/26,,8631930518,382226717415,SHARMA ENTERPRISES,KAPURTHALA,151,  2.47 ,PB07X9469,9,"  4,200 ","  1,800 ",  -   ,,23014,Aman Road,Club With 23015-16,RECD,
9/Apr/26,10/Apr/26,,8631930520,352226740805,PAWAN TRADING CO,PHAGWARA,100,  0.90 ,PB07X9469,,,,,,23015,Aman Road,Club With 23014-16,RECD,
9/Apr/26,10/Apr/26,,8631930519,352226738925,MALHAN TRADERS,PHAGWARA,224,  3.21 ,PB07X9469,,,,,,23016,Aman Road,Club With 23014-15,RECD,
9/Apr/26,9/Apr/26,,8631930524-26,382226756489-382226757750,AVENUE SUPERMARTS LTD.,ZIRAKPUR,188,  2.74 ,PB10GY7337,3,"  3,340 ",  260 ,  940 ,,23017,New Sodhi,,RECD,
10/Apr/26,10/Apr/26,,8631930549,312227230671,ISHWER CHAND & SONS,NIHAL-SINGH-WALA,200,  2.97 ,HP836748,7,"  5,315 ","  1,000 ",  -   ,,23018,Aman Road,Club With 23019,RECD,
10/Apr/26,10/Apr/26,,8631930550,322227231664,MAHAVIR TRADING CO,MULLANPUR,295,  4.86 ,HP836748,,,,,,23019,Aman Road,Club With 23018,Pending,
10/Apr/26,10/Apr/26,,8631930552-53-54,302227243142-362227246264-322227262130,SURINDER KUMAR BHARAT BHUSHAN,PHAGWARA,592,  9.33 ,HR58B4175,15,"  3,300 ","  2,700 ",  -   ,,23020,Sat Sahib ,,RECD,
10/Apr/26,10/Apr/26,,8631930555,362227294247,SUBHASH CHANDER JIWAN KUMAR,MULLANPUR,402,  6.08 ,HP836748,7,"  2,400 ",  600 ,  -   ,,23021,Aman Road,,RECD,
10/Apr/26,10/Apr/26,,8631930556,332227305298,BAJAJ OIL & BANSPATI TRADING CO,JALLANDHAR,211,  3.10 ,PB08DS6626,3,"  2,197 ",  603 ,  -   ,,23022,Aman Road,,RECD,
10/Apr/26,10/Apr/26,,8631930560,312227406298,DHARAM PAL SUSHIL KUMAR,SAHKOT,180,  3.02 ,PB10JP8564,4,"  3,000 ",  -   ,  -   ,,23023,New Sodhi,,RECD,
10/Apr/26,11/Apr/26,,8631930563,342227423449,D D R VEGG OILS,BATHINDA,231,  3.03 ,PB13AL6762,3,"  4,500 ",  -   ,  -   ,,23024,New Sodhi,,RECD,
10/Apr/26,11/Apr/26,,8631930564,382227470054,BRIJ LAL SOHAN LAL,BARNALA,225,  3.30 ,PB10ES2351,3,"  2,782 ",  718 ,  -   ,,23025,New Sodhi,,RECD,
10/Apr/26,10/Apr/26,,8631930566-67,312227463868-322227466183,AVENUE SUPERMARTS LTD.,MANDI-GOBINDGARH,188,  2.60 ,PB10JR5386,3,"  1,745 ","  1,055 ",  940 ,,23026,Aman Road,,RECD,
10/Apr/26,10/Apr/26,,8631930578-81-96,352227496600-382227500591-392227539671,AVENUE SUPERMARTS LTD.,LUDHIANA,91,  1.39 ,PB10GY7337,3,"  1,200 ",  300 ,  455 ,,23028,New Sodhi,,RECD,
10/Apr/26,11/Apr/26,,8631930583-84-85-87,332227517091-312227518535-352227521465-312227521900,AADHAAR RETAILING LTD,LUDHIANA,225,  3.82 ,PB10JP8564,4,"  1,500 ",  500 ,  450 ,,23029,New Sodhi,,RECD,
11/Apr/26,12/Apr/26,,8631930625,362228047851,LAHORI MAL BIMAL CHAND JAIN,ROPAR,240,  3.00 ,PB08DS6626,3,"  2,430 ",  870 ,  -   ,,23030,Aman Road,,RECD,
11/Apr/26,11/Apr/26,,8631930633-34,362227140907-372228143602,AVENUE SUPERMARTS LTD.,MOHALI,139,  1.84 ,PB10GY7337,3,"  2,430 ","  1,170 ",  695 ,,23033,New Sodhi,,RECD,
11/Apr/26,12/Apr/26,,8631930630-31-32,382228128475-352228131544-392228132578,AVENUE SUPERMARTS LTD.,BANUR,176,  2.39 ,PB10JR5386,3,"  3,340 ",  260 ,  880 ,,23032,Aman Road,,RECD,
11/Apr/26,11/Apr/26,,8631930627-28-29,372228118796-302228119376-342228122082,AVENUE SUPERMARTS LTD.,JALLANDHAR,272,  3.75 ,HP836748,7,"  2,656 ","  2,344 ","  1,360 ",,23031,Aman Road,,RECD,
13/Apr/26,15/Apr/26,,8631930651-52,362229078467-332229800236,AVENUE SUPERMARTS LTD.,JALLANDHAR,323,  4.68 ,HP836748,7,"  3,035 ","  1,965 ","  1,615 ",,23035,Aman Road,,Pending,
13/Apr/26,13/Apr/26,,8631930648-49-50,312229070525-302229071707-332229073926,AVENUE SUPERMARTS LTD.,PATIALA,179,  2.49 ,PB10JR5386,3,"  2,630 ",  670 ,"  1,432 ",,23034,Aman Road,,RECD,
13/Apr/26,13/Apr/26,,8631930654-55,332229105919-342229107426,SHIV SHAKTI ENTERPRISES,RAJPURA,490,  4.92 ,PB11CB2467,15,"  3,740 ",  760 ,  -   ,,23037,Nice Transport,,RECD,
13/Apr/26,13/Apr/26,,8631930653,392229095928,S.K. TRADERS,HOSHIARPUR,230,  3.20 ,PB06G2315,6,"  8,500 ",  -   ,  -   ,,23036,New Sodhi,Club With 23040,RECD,
13/Apr/26,13/Apr/26,,8631930659,302229147123,OM PARKASHMAHAJAN & CO,DHARIWAL,220,  3.30 ,PB06G2315,,,,,,23040,New Sodhi,Club With 23036,RECD,
13/Apr/26,13/Apr/26,,8631930657-58,322229122928-362229124492,AVENUE SUPERMARTS LTD.,AMRITSAR,350,  5.50 ,HP836748,7,"  8,500 ",,"  1,750 ",,23039,Aman Road,,RECD,
13/Apr/26,13/Apr/26,,8631930675,302229287148,KARAM CHAND & SONS,MOGA,450,  7.56 ,PB07X9469,9,"  4,555 ","  1,245 ",  -   ,,23041,Aman Road,,RECD,
13/Apr/26,14/Apr/26,,8631930677,322229297172,S.K. TRADERS,HOSHIARPUR,220,  3.56 ,PB10FF1166,3,"  2,884 ",  416 ,  -   ,,23042,Aman Road,,Pending,
15/Apr/26,15/Apr/26,,8631930694-95,392230323511-372230325751,PARSHOTAM SINGH SAWRAN SINGH ,PHAGWARA,323,  5.23 ,HP836748,7,"  2,766 ","  1,234 ",  880 ,,23043,Aman Road,Club With 23044,RECD,
